%Frame Number	x (image)	y (image)	x (world)	y (world)	Area	Orientation	Compactness	TimeStamp (ms)
0	487.669	272.054	0	0	5142	0.0569258	0.558601	1399927432427
1	482.984	271.018	0	0	5986.5	0.0108326	0.505745	1399927432608
2	473.013	272.156	0	0	5772	0.10004	0.559934	1399927432782
3	464.249	270.425	0	0	5743.5	0.274461	0.557922	1399927432963
4	453.225	270.312	0	0	5996	0.367063	0.581015	1399927433138
5	446.466	270.389	0	0	6009.5	0.224224	0.496442	1399927433318
6	437.632	271.817	0	0	5509.5	0.332652	0.511194	1399927433498
7	427.032	271.068	0	0	5619	0.402701	0.556343	1399927433684
8	421.268	271.227	0	0	6105	0.290561	0.511087	1399927433858
9	415.012	272.91	0	0	5964	0.0348448	0.529379	1399927434039
10	410.328	274.323	0	0	4731	0.407766	0.540133	1399927434218
11	403.507	273.686	0	0	4941	0.2498	0.595382	1399927434398
12	396.472	273.311	0	0	5089.5	0.157273	0.515135	1399927434578
13	391.452	273.694	0	0	6008.5	-0.36353	0.522832	1399927434762
14	384.367	273.644	0	0	5107.5	-0.324017	0.55677	1399927434939
15	379.398	277.126	0	0	5128	0.337567	0.575599	1399927435119
16	367.685	278.333	0	0	5292	-0.170703	0.605434	1399927435302
17	355.839	280.225	0	0	4970.5	0.401675	0.513281	1399927435478
18	347.067	279.744	0	0	5425	0.387667	0.552	1399927435658
19	333.373	280.585	0	0	4942.5	0.546368	0.60967	1399927435838
20	327.2	279.264	0	0	5213.5	0.729536	0.50878	1399927436023
21	316.051	281.775	0	0	5156.5	0.160085	0.527465	1399927436198
22	305.307	282.749	0	0	4175	0.479817	0.542671	1399927436378
23	297.396	277.71	0	0	4281.5	0.301392	0.652429	1399927436563
24	284.098	277.09	0	0	4076.5	0.408018	0.574206	1399927436744
25	278.179	275.55	0	0	3742.5	0.826761	0.570294	1399927436919
26	271.662	275.684	0	0	3548	0.395228	0.583444	1399927437099
