0,160,312
1,320,320
2,480,320
0,160,304
1,320,320
2,480,320
0,160,297
1,320,320
2,480,320
0,160,290
1,320,320
2,480,320
0,160,283
1,320,320
2,480,320
0,160,277
1,320,320
2,480,320
0,160,271
1,320,320
2,480,320
0,160,265
1,320,320
2,480,320
0,160,259
1,320,320
2,480,320
0,160,253
1,320,320
2,480,320
0,160,248
1,320,312
2,480,320
0,160,243
1,320,304
2,480,320
0,160,238
1,320,297
2,480,320
0,160,234
1,320,290
2,480,320
0,160,230
1,320,283
2,480,320
0,160,226
1,320,277
2,480,320
0,160,222
1,320,271
2,480,320
0,160,218
1,320,265
2,480,320
0,160,215
1,320,259
2,480,320
0,160,212
1,320,253
2,480,320
0,160,209
1,320,248
2,480,312
0,160,207
1,320,243
2,480,304
0,160,205
1,320,238
2,480,297
0,160,203
1,320,234
2,480,290
0,160,201
1,320,230
2,480,283
0,160,199
1,320,226
2,480,277
0,160,198
1,320,222
2,480,271
0,160,197
1,320,218
2,480,265
0,160,196
1,320,215
2,480,259
0,160,196
1,320,212
2,480,253
0,160,196
1,320,209
2,480,248
0,160,196
1,320,207
2,480,243
0,160,196
1,320,205
2,480,238
0,160,196
1,320,203
2,480,234
0,160,197
1,320,201
2,480,230
0,160,198
1,320,199
2,480,226
0,160,199
1,320,198
2,480,222
0,160,201
1,320,197
2,480,218
0,160,203
1,320,196
2,480,215
0,160,205
1,320,196
2,480,212
0,160,207
1,320,196
2,480,209
0,160,209
1,320,196
2,480,207
0,160,212
1,320,196
2,480,205
0,160,215
1,320,196
2,480,203
0,160,218
1,320,197
2,480,201
0,160,222
1,320,198
2,480,199
0,160,226
1,320,199
2,480,198
0,160,230
1,320,201
2,480,197
0,160,234
1,320,203
2,480,196
0,160,238
1,320,205
2,480,196
0,160,243
1,320,207
2,480,196
0,160,248
1,320,209
2,480,196
0,160,253
1,320,212
2,480,196
0,160,259
1,320,215
2,480,196
0,160,265
1,320,218
2,480,197
0,160,271
1,320,222
2,480,198
0,160,277
1,320,226
2,480,199
0,160,283
1,320,230
2,480,201
0,160,290
1,320,234
2,480,203
0,160,297
1,320,238
2,480,205
0,160,304
1,320,243
2,480,207
0,160,312
1,320,248
2,480,209
0,160,320
1,320,253
2,480,212
0,160,328
1,320,259
2,480,215
0,160,328
1,320,265
2,480,218
0,160,328
1,320,271
2,480,222
0,160,328
1,320,277
2,480,226
0,160,328
1,320,283
2,480,230
0,160,328
1,320,290
2,480,234
0,160,328
1,320,297
2,480,238
0,160,328
1,320,304
2,480,243
0,160,328
1,320,312
2,480,248
0,160,328
1,320,320
2,480,253
0,160,328
1,320,328
2,480,259
0,160,328
1,320,328
2,480,265
0,160,328
1,320,328
2,480,271
0,160,328
1,320,328
2,480,277
0,160,328
1,320,328
2,480,283
0,160,328
1,320,328
2,480,290
0,160,328
1,320,328
2,480,297
0,160,328
1,320,328
2,480,304
0,160,328
1,320,328
2,480,312
0,160,328
1,320,328
2,480,320
0,160,328
1,320,328
2,480,328
0,160,328
1,320,328
2,480,328
0,160,328
1,320,328
2,480,328
0,160,328
1,320,328
2,480,328
0,160,328
1,320,328
2,480,328
0,160,328
1,320,328
2,480,328
0,160,328
1,320,328
2,480,328
0,160,328
1,320,328
2,480,328
